file	sdr
al_harith_toward_demise	https://purl.stanford.edu/vd117wd2891
al_isbahani_prayer_presence_king	https://purl.stanford.edu/kw226mf8206
al_mulhalhil_twilights_ruins	https://purl.stanford.edu/zf940dh4421
al_nuwayri_book_knowledge	https://purl.stanford.edu/xg226gp4173
al_shafii_let_days_do_they_please	https://purl.stanford.edu/js094nd6987
al_shafii_were_it_not_that_poesy	https://purl.stanford.edu/jh347tq0120
al_shafii_your_friend_contests	https://purl.stanford.edu/sx790tj7500
alcuin_song_4_go_quickly	https://purl.stanford.edu/wf172pp9458
andre_romance_of_the_french	https://purl.stanford.edu/vb969qj2046
bar_ebroyo_on_april	https://purl.stanford.edu/kh002fw2662
barros_first_decade_asia	https://purl.stanford.edu/xf832ws7375
besom_devotion	https://purl.stanford.edu/dw455tn1713
bracciolini_conclusio	https://purl.stanford.edu/vx998hr0720
bracciolini_introduction	https://purl.stanford.edu/sv990qy7712
bracciolini_joke_114	https://purl.stanford.edu/kg337yq8278
bracciolini_joke_121	https://purl.stanford.edu/mt010pz7336
bracciolini_joke_13	https://purl.stanford.edu/qx141dj8307
bracciolini_joke_27	https://purl.stanford.edu/ww555hr8382
bracciolini_joke_273	https://purl.stanford.edu/pb612ws1048
bracciolini_joke_5	https://purl.stanford.edu/zz135cw7207
bracciolini_joke_54	https://purl.stanford.edu/rs785ht2018
bracciolini_joke_57	https://purl.stanford.edu/ym333kk6225
bracciolini_joke_58	https://purl.stanford.edu/tf627nm3963
bracciolini_joke_70	https://purl.stanford.edu/gx976zm1272
bracciolini_joke_81	https://purl.stanford.edu/sy186gs1533
bracciolini_joke_82	https://purl.stanford.edu/mm445bx7141
brief_treatise_doctrine	https://purl.stanford.edu/gz309sy7324
burial_arthur	https://purl.stanford.edu/qh162zv9519
cabello_valboa_anthropomorphic_americas	https://purl.stanford.edu/xf832ws7375
carvajal_between_sessa_cintura	https://purl.stanford.edu/vh669nf9534
carvajal_came_from_campagna	https://purl.stanford.edu/rt158gj6450
carvajal_outside_rome	https://purl.stanford.edu/gd523jq2768
carvajal_traveling_tuscany	https://purl.stanford.edu/rz666qw6921
carvajal_walking_out	https://purl.stanford.edu/rw838fz3671
carvajal_wandering_lost	https://purl.stanford.edu/qt817pd5373
charcoal_burner_nevers	https://purl.stanford.edu/th011wq8477
creature_dialogue_fire_water	https://purl.stanford.edu/pf807nv5337
creature_dialogue_leopard_unicorn_dragon	https://purl.stanford.edu/bp928pf2174
creature_dialogue_life_death	https://purl.stanford.edu/jj379yr6162
creature_dialogue_man_woman	https://purl.stanford.edu/cd889mt8602
creature_dialogue_precious_topaz	https://purl.stanford.edu/jb202ck2061
creature_dialogue_preface	https://purl.stanford.edu/vm892gs1272
creature_dialogue_saturn_cloud	https://purl.stanford.edu/vg743mp9789
creature_dialogue_sun_moon	https://purl.stanford.edu/yh552df1706
damsel_carcayciona	https://purl.stanford.edu/sd545pv5527
daubigne_spring_sonnet_vi	https://purl.stanford.edu/sp408wm2213
daubigne_spring_sonnet_vii	https://purl.stanford.edu/xy533jz1052
death_king_john	https://purl.stanford.edu/yj200vf8877
discourse_angels_pagans	https://purl.stanford.edu/jw580fh4049
divination_through_apostles	https://purl.stanford.edu/kg796py1204
